SMILES,ID,Database
COc1ccc2c(c1)OC(=O)CC2,BMC_00010,AfroDb
CC(=CCCc1c(ccc(c1O)C(=O)/C=C/c2ccc(cc2)O)O)C,BMC_000101,AfroDb
CC(=O)O[C@@H]1CC[C@@]2([C@H](C1(C)C)CC[C@]3([C@@H]2CC=C4[C@]3(CC[C@]5([C@@H]4CC(CC5)(C)C)C)C)C)C,BMC_000103,AfroDb
c1cc(c(cc1[C@@H]2[C@H](Cc3c(cc(cc3O2)O)O)O)O)O,BMC_000104,AfroDb
c1cc(ccc1[C@@H]2[C@H](Cc3c(cc(cc3O2)O)O)O)O,BMC_000105,AfroDb
CC[C@@H](C)C/C=C/[C@H](C)[C@@H]1CC[C@@H]2[C@]1(CC[C@H]3[C@@H]2CC=C4[C@]3(CC[C@H](C4)O)C)C,BMC_000106,AfroDb
CC(=C)[C@H]1C[C@@H]2C[C@]23[C@H]1C[C@H]4C[C@@]5([C@H]6CC[C@@H]7C([C@H]6[C@@H](O7)C[C@]58C[C@@H]8[C@@]4(C3)C)(C)C)C,BMC_00011,AfroDb
CC(=C)[C@@H]1CC[C@@]2([C@H]1[C@@]3(CC[C@@H]4[C@]5(CC[C@H](C([C@H]5CC[C@@]4([C@@]3(CC2)C)C)(C)C)C(=O)/C=C/c6ccc(cc6)O)C)C)C(=O)O,BMC_000112,AfroDb
C[C@]12CC[C@H](C([C@H]1CC[C@@]3([C@@H]2CC/C=C/4\[C@H](COC4=O)O)CO3)(C)C)O,BMC_000116,AfroDb
CC(C)C1=CC[C@]2([C@H](CC[C@]([C@H]2C1)(C)O)O)C,BMC_000117,AfroDb
CC(C)[C@@H]\1CCC(=C)[C@H](CC[C@](/C=C1)(C)O)O,BMC_000118,AfroDb
C/C/1=C/CC[C@@](/C=C/[C@@H](CC1)C(C)C)(C)O,BMC_000119,AfroDb
CC1=CC(=O)CC([C@@]1(/C=C/[C@H](C)O)O)(C)C,BMC_00012,AfroDb
CC(=CCCc1c(ccc(c1O)C(=O)/C=C/c2ccc(cc2)O)O)C,BMC_00013,AfroDb
C[C@@H]1CC[C@]2(CC[C@@]3([C@@H]([C@H]2[C@@H]1C)CC(=O)[C@]45[C@]3(CC[C@H]6[C@]4(C5)CC[C@H](C6(C)C)OC(=O)C)C)C)C,BMC_00014,AfroDb
C[C@@H]1CC[C@]2(CC[C@@]3([C@@H]([C@H]2[C@@H]1C)CC[C@]45[C@]3(CC[C@H]6[C@]4(C5)CC[C@H](C6(C)C)OC(=O)C)C)C)C,BMC_00015,AfroDb
c1cc(ccc1[C@@H]2CC(=O)c3c(cc(c(c3O2)c4c(ccc(c4O)O)c5cc(=O)c6c(cc(cc6o5)O)O)O)O)O,BMC_00016,AfroDb
c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)Oc4cc(ccc4O)c5cc(=O)c6c(cc(cc6o5)O)O,BMC_00017,AfroDb
c1cc(c(cc1c2cc(=O)c3c(cc(cc3o2)O)O)O)O,BMC_00019,AfroDb
C[C@@H]1CC[C@]2(CC[C@@]3(C(=CC[C@]45[C@]3(CC[C@H]6[C@]4(C5)CC[C@H](C6(C)C)O)C)[C@H]2[C@@H]1C)C)C(=C)C,BMC_0002,AfroDb
C[C@]12C[C@H]([C@@H]3[C@H]4[C@H](CC(=O)[C@H]3[C@]15[C@@H](O5)C(=O)O[C@H]2c6ccoc6)CO[C@@]4(C)O)O,BMC_00020,AfroDb
CC[C@]1([C@@H]2[C@H](CC(=O)[C@@H]3[C@@H]2[C@@H](C[C@]4([C@@]35[C@@H](O5)C(=O)O[C@H]4c6ccoc6)C)O)CO1)C,BMC_00021,AfroDb
C[C@]12C[C@H]([C@H]3[C@H]([C@]14[C@@H](O4)C(=O)O[C@H]2c5ccoc5)C(=O)C[C@@H]6[C@]3([C@@H](CC(=O)OC6(C)C)O)C)O,BMC_00022,AfroDb
C[C@]12C[C@H]([C@H]3[C@H]([C@]14[C@@H](O4)C(=O)O[C@H]2c5ccoc5)C(=O)C[C@@H]6[C@]3(C(=CC(=O)OC6(C)C)O)C)O,BMC_00023,AfroDb
CC(=O)OC[C@H](Cc1ccccc1)NC(=O)[C@@H](Cc2ccccc2)NC(=O)c3ccccc3,BMC_00024,AfroDb
CC[C@@H](CC[C@H](C)[C@@H]1CC[C@H]2[C@@]1(CC[C@@H]3[C@@H]2CC=C4[C@@]3(CCC[C@@H]4O[C@@H]5[C@@H]([C@@H]([C@H](CO5)O)O)O)C)C)C(C)C,BMC_00026,AfroDb
COc1cc(oc(=O)c1)/C=C/c2cccc(c2)O,BMC_00029,AfroDb
COc1cc(ccc1O)CCOCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/c2ccc(c(c2)OC)O,BMC_0003,AfroDb
COc1cc(oc(=O)c1)/C=C/c2ccc(cc2)O,BMC_00030,AfroDb
Cc1c2c(cc3c1C(=O)c4ccccc4C3=O)[C@@](CC2)(C)O,BMC_00031,AfroDb
C[C@]1(CCc2ccc3c(c2C1)C(=O)c4ccccc4C3=O)O,BMC_00032,AfroDb
COc1cc(c2c(c1)occ(c2=O)c3cc(c(c(c3)OC)OC)O)O,BMC_00033,AfroDb
COc1cc(c2c(c1)occ(c2=O)c3cc(c(c(c3)OC)OC)[C@@H]4[C@H]([C@@H]([C@H]([C@@H](O4)CO)O)O)O)O,BMC_00034,AfroDb
CC[C@@H](/C=C/[C@H](C)[C@@H]1CC[C@H]2[C@@]1(CC[C@@H]3[C@@H]2CC=C4[C@@]3(CCC[C@@H]4O[C@@H]5[C@@H]([C@@H]([C@H](CO5)O)O)O)C)C)C(C)C,BMC_00035,AfroDb
Cc1cc2c(cc1O)C(=O)C[C@@]([C@@H]2C(=O)C)(C)O,BMC_00036,AfroDb
