"""Molecule ChEMBL ID",Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value
"""CHEMBL560165",,0,414.44,1,-1.43,COc1nc(N)c2ncn([C@@H]3O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]3O)c2n1,IC50,'=',75000,nM,4.12
"""CHEMBL1414679",,0,527,1,3.3,CC1=C(C(=O)OC(C)C)C(c2ccc(Cl)cc2)n2c(sc(=Cc3ccc(OCC(=O)O)cc3)c2=O)=N1,IC50,'=',5430,nM,5.26
"""CHEMBL1988862",,0,236.29,0,4.11,O=C1c2sccc2-c2cccc3cccc1c23,IC50,'=',1020,nM,5.99
"""CHEMBL1713628",,0,404.43,0,3.85,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1N=Nc1ccccc1[N+](=O)[O-],IC50,'=',7090,nM,5.15
"""CHEMBL1412087",,0,546.45,2,6.51,CCOc1cc(/C=C2\C(=O)N(c3nc(-c4ccc(Br)cc4)cs3)N=C2c2ccccc2)ccc1O,IC50,'=',4350,nM,5.36
"""CHEMBL1389315",,0,546.67,2,5.72,O=S(=O)(Nc1c(S(=O)(=O)c2ccccc2)c2nc3ccccc3nc2n1C1CCCCC1)c1ccccc1,IC50,'=',5230,nM,5.28
"""CHEMBL1333249",,0,434.41,0,1.51,Cn1c(N)c(C(=O)COC(=O)c2cc(-c3ccco3)nc3ccccc23)c(=O)n(C)c1=O,IC50,'=',5780,nM,5.24
"""CHEMBL1902527",,0,175.02,0,2.3,ClN=C1C=CC=CC1=NCl,IC50,'=',7200,nM,5.14
"""CHEMBL1424189",,0,512.97,1,2.92,CCOC(=O)C1=C(C)N=c2sc(=Cc3ccc(OCC(=O)O)cc3)c(=O)n2C1c1ccc(Cl)cc1,IC50,'=',8420,nM,5.08
"""CHEMBL1551448",,0,415.45,0,4.21,COc1ccc(NC(=O)CN(C)C(=O)c2cc(-c3ccco3)nc3ccccc23)cc1,IC50,'=',6240,nM,5.21
"""CHEMBL1231795",,0,509.74,2,5.84,COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1,IC50,'=',1287,nM,5.89
"""CHEMBL418052",S-ADENOSYLHOMOCYSTEINE,0,384.42,1,-1.44,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,IC50,'=',2000,nM,5.7
"""CHEMBL551578",,0,410.46,1,-1.34,COC(=O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)CN1,IC50,'=',4000,nM,5.4
"""CHEMBL555257",,0,576.68,2,2.32,O=C(O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)ncnc43)[C@H](O)[C@@H]2O)CN1,IC50,'=',3700,nM,5.43
"""CHEMBL1368108",,0,396.45,0,1.73,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)C(=C)C)C3)c1,IC50,'=',4950,nM,5.3
"""CHEMBL1434555",,0,347.42,0,3.5,Cc1ccc(NC(=O)CN(C)C(=O)c2cccc(-n3cccc3)c2)cc1,IC50,'=',9260,nM,5.03
"""CHEMBL2204995",,0,541.7,1,4.31,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccnc(N3CCN(C)CC3)c2)cc2c1cnn2C(C)C,IC50,'>',100000,nM,
"""CHEMBL640",PROCAINAMIDE,4,235.33,0,1.34,CCN(CC)CCNC(=O)c1ccc(N)cc1,IC50,'>',500000,nM,
"""CHEMBL3126646",,0,461.53,1,5.65,Cc1cc(Nc2cccc(NC(=O)c3cccc(Nc4ccnc5ccccc45)c3)c2)nc(N)n1,IC50,'=',9000,nM,5.05
"""CHEMBL563782",,0,366.45,0,-0.49,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC[C@@H]2CCCN2)[C@@H](O)[C@H]1O,IC50,'=',19000,nM,4.72
"""CHEMBL538693",,0,340.41,0,-0.89,NCCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,IC50,'>',45000,nM,
"""CHEMBL538627",,0,386.87,0,-0.22,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCNC2)[C@@H](O)[C@H]1O,IC50,'=',36000,nM,4.44
"""CHEMBL551174",,0,532.67,1,2.86,O[C@@H]1[C@@H](CS[C@H]2CCNC2)O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)ncnc32)[C@@H]1O,IC50,'=',15000,nM,4.82
"""CHEMBL115145",,0,288.25,0,2.08,O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O,IC50,'=',92000,nM,4.04
"""CHEMBL4205107",,0,425.53,0,4.08,COc1cc2c(NCCO)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',781,nM,6.11
"""CHEMBL4217332",,0,492.62,0,4.71,COc1cc2c(NC3CCN(C)C(=O)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',297,nM,6.53
"""CHEMBL4162206",,0,508.75,2,6.44,COc1cc2c(NC3CCN(C(C)C)CC3)cc(C3CCCCC3)nc2cc1OCCCN1CCCC1,IC50,'=',619,nM,6.21
"""CHEMBL4174724",,0,474.65,1,5.28,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccccc3)nc2cc1OCCCN1CCCC1,IC50,'=',1050,nM,5.98
"""CHEMBL4175132",,0,488.68,1,5.59,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccccc3C)nc2cc1OCCCN1CCCC1,IC50,'=',582,nM,6.24
"""CHEMBL4175084",,0,494.64,0,4.37,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(CO)o3)nc2cc1OCCCN1CCCC1,IC50,'=',759,nM,6.12
"""CHEMBL1546750",,0,324.42,0,3.92,Cc1cccc(OCC(=O)Nc2ccc(N3CCCC3)cc2)c1C,IC50,'>',99000,nM,
"""CHEMBL1330058",,0,343.34,0,4.02,O=C(Oc1ccc(-c2nc(-c3ccccn3)no2)cc1)c1ccccc1,IC50,'>',99000,nM,
